episode_id,timestamp_utc,failure_class,harness,model,session_or_worker,task_id,occurrences,evidence_pointer,corroborating_pointer,adjudication
fm-001,2026-08-07T23:45:04Z,unscoped-test-guard,claude,claude-opus-5,1ebe3ceb-c580-41d3-ba76-d0381b532e82,cas-8aba,3,~/.claude-alt/projects/-home-pippenz-Petrastella-cas-src--cas-worktrees-steady-falcon-66/1ebe3ceb-c580-41d3-ba76-d0381b532e82.jsonl:541,task:cas-a967@2026-08-08T00:31Z,"One session recorded three distinct zero-test/silent-success invocations: wrong package, relative ZIG, and stale filter."
fm-002,2026-08-10T14:21:49Z,workspace-contract-denial,claude,claude-fable-5,54bc7a03-3981-458c-88bd-5c3a712f6615,,1,~/.claude/projects/-home-pippenz-Petrastella-petra-stella-tools-petra-stella-cloud/54bc7a03-3981-458c-88bd-5c3a712f6615.jsonl:29,,"Runtime banner denied a write to /dev/null."
fm-003,2026-08-10T16:02:03Z,workspace-contract-denial,claude,claude-fable-5,7dc424a3-4ba6-4c0d-a000-e4fcff340254,,1,~/.claude/projects/-home-pippenz-Petrastella-gabber-studio/7dc424a3-4ba6-4c0d-a000-e4fcff340254.jsonl:41,,"Runtime banner denied a write to /dev/null."
fm-004,2026-08-10T17:47:46Z,workspace-contract-denial,claude,claude-fable-5,7df7a647-6a63-4f33-992f-602fd1587405,,1,~/.claude/projects/-home-pippenz-Petrastella-petra-stella-tools-petra-stella-cloud/7df7a647-6a63-4f33-992f-602fd1587405.jsonl:185,,"Runtime banner denied a write to ~/.config/systemd/user/cas-hub.service."
fm-005,2026-08-10T14:19:56Z,workspace-contract-denial,claude,claude-fable-5,99fcde4d-69c3-4eeb-934f-0baf511caeb8,,1,~/.claude-alt/projects/-home-pippenz-Petrastella-cas-src/99fcde4d-69c3-4eeb-934f-0baf511caeb8.jsonl:96,,"Runtime banner denied a write to /dev/null."
fm-006,2026-08-10T21:00:36Z,workspace-contract-denial,claude,claude-fable-5,d7de0239-62cc-46e4-9840-285b03bfab05,,1,~/.claude/projects/-home-pippenz-Petrastella-gabber-studio/d7de0239-62cc-46e4-9840-285b03bfab05.jsonl:420,,"Runtime banner denied a write to ~/Downloads."
fm-007,2026-08-10T12:53:58Z,workspace-contract-denial,claude,claude-fable-5,f54c4e08-831c-4cb6-ae05-5bd663ec1fed,,1,~/.claude-alt/projects/-home-pippenz-Petrastella-cas-src/f54c4e08-831c-4cb6-ae05-5bd663ec1fed.jsonl:143,,"Runtime banner denied a write to the Claude harness scratchpad."
fm-008,2026-08-09T18:25:18Z,wrong-process-or-environment,codex,gpt-5.6-terra,brave-panther-51,cas-4fa4,1,~/.codex/sessions/2026/08/09/rollout-2026-08-09T13-44-44-019fe7a0-8530-7f22-adbd-a28b79f073f0.jsonl:776,task:cas-4fa4@2026-08-09T19:02Z,"Worker restarted the CAS server backing its own MCP session; the next coordination call failed Transport closed."
fm-009,2026-08-08T02:45:00Z,scope-drift,claude,claude-opus-5,bold-newt-66,cas-7a21,1,task:cas-058e@2026-08-08T02:45Z,,"Incoming files staged during a conflicted merge were misread as the worker's scope drift and triggered a merge block."
fm-010,2026-08-11T13:29:55Z,partial-delivery,codex,gpt-5.6-terra,nimble-leopard-33,cas-a487,1,task:cas-a487@2026-08-11T13:29:55Z,,"Supervisor declined merge: the entire Probe + Fallback half of the task was missing."
fm-011,2026-08-10T23:18:01Z,partial-delivery,codex,gpt-5.6-terra,019fede3-f4d7-7672-b5b9-96fa32dfc775,cas-5721,1,~/.codex/sessions/2026/08/10/rollout-2026-08-10T18-56-07-019fede3-f4d7-7672-b5b9-96fa32dfc775.jsonl:624,,"Supervisor explicitly closed the prior task as an approved partial delivery and assigned the remaining defect separately."
fm-012,2026-08-11T15:26:00Z,missed-surface,codex,gpt-5.6-terra,gentle-dolphin-92,cas-8921,1,task:cas-641f@description,~/.codex/sessions/2026/08/11/rollout-2026-08-11T10-45-41-019ff149-51a4-7743-8f32-e4ae4462987e.jsonl:843,"First pass missed the Codex/Grok builtin mirrors."
fm-013,2026-08-11T15:26:00Z,missed-surface,codex,gpt-5.6-terra,true-stork-97,cas-96f9,1,task:cas-641f@description,,"Migration m232 missed the pinned migration-invariant test and CI caught it."
fm-014,2026-08-11T15:26:00Z,missed-surface,codex,gpt-5.6-terra,patient-owl-95,cas-2327,1,task:cas-641f@description,,"Behavior-contract sibling surface was omitted; catalogued as a checklist trace."
fm-015,2026-08-11T15:26:00Z,missed-surface,codex,gpt-5.6-terra,strong-robin-4,cas-bc13,1,task:cas-641f@description,,"Behavior-contract sibling surface was omitted; catalogued as a checklist trace."
fm-016,2026-07-31T14:43:38Z,crossed-message-merge-race,codex,gpt-5.6-sol,019fb887-6bac-7821-9499-29467c2148a6,cas-bd61,1,~/.codex/sessions/2026/07/31/rollout-2026-07-31T10-15-10-019fb887-6bac-7821-9499-29467c2148a6.jsonl:597,,"Supervisor reported crossed messages after the merge already contained the worker tip."
fm-017,2026-08-11T12:00:36Z,crossed-message-merge-race,codex,gpt-5.6-sol,019ff0a6-279e-7d62-a707-b915a38825bf,cas-96ea5,1,~/.codex/sessions/2026/08/11/rollout-2026-08-11T07-47-28-019ff0a6-279e-7d62-a707-b915a38825bf.jsonl:441,,"Worker waited for a merge that was already complete."
fm-018,2026-08-11T13:31:41Z,crossed-message-merge-race,codex,gpt-5.6-terra,019ff0eb-f3d7-7f31-a797-e283b8e83c77,cas-8fb8,1,~/.codex/sessions/2026/08/11/rollout-2026-08-11T09-03-43-019ff0eb-f3d7-7f31-a797-e283b8e83c77.jsonl:399,,"Worker waited for a merge and verification receipt that had already landed."
fm-019,2026-08-11T14:58:05Z,crossed-message-merge-race,codex,gpt-5.6-terra,happy-parrot-74,cas-1e7e,1,task:cas-1e7e@2026-08-11T14:58:05Z,,"Operator amendment crossed the worker's final push and forced a corrective commit."
fm-020,2026-08-07T21:13:44Z,premature-done-claim,claude,claude-opus-5,true-lark-30,cas-9d92,1,task:cas-9d92@2026-08-07T21:13:44Z,,"Supervisor rejected a premature close after five binding amendments were delivered but not surfaced."
fm-021,2026-08-07T00:54:00Z,draft-or-format-violation,claude,claude-opus-5,witty-finch-14,cas-a872,2,task:cas-a872@2026-08-07T00:54Z,,"Two headerless Slack drafts lacked required message split points and needed rubric-boundary interpretation."
