model,effort,sessions,tasks_delivered,send_backs,send_back_rate,urgent_stops,median_minutes_to_first_push,median_input_tokens_per_delivered_task,median_cached_input_tokens_per_delivered_task,median_output_tokens_per_delivered_task,median_tool_calls_per_delivered_task,cost_usd_total_current,cost_usd_per_delivered_task_current,pricing_basis
<synthetic>,high,3,3,1,0.3333,0,,6702.00,54042529.00,440813.00,171.00,,,unpriced or no model attribution
<synthetic>,low,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,,,unpriced or no model attribution
<synthetic>,medium,4,1,1,1.0000,0,,0.00,0.00,0.00,0.00,,,unpriced or no model attribution
<synthetic>,xhigh,2,2,0,0.0000,0,192.50,0.00,0.00,0.00,0.00,,,unpriced or no model attribution
claude-fable-5-1,high,17,14,6,0.4286,0,41.67,7641.00,84980789.50,634452.50,191.00,1584.184360,113.156026,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-fable-5-1,medium,36,33,6,0.1818,0,17.29,3494.00,16761367.00,165453.00,85.00,1413.698341,42.839344,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-haiku-4-5-20251001,low,17,17,5,0.2941,0,27.29,1177.00,8469252.00,48179.00,57.00,28.077127,1.651596,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-haiku-4-5-20251001,unknown,2,0,0,0.0000,0,,,,,,1.784264,,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-opus-5,high,71,57,9,0.1579,0,27.57,538.00,46022521.00,213700.00,175.00,4379.410206,76.831758,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-opus-5,max,2,2,1,0.5000,0,50.11,4303.00,241536768.50,690112.00,367.00,349.483258,174.741629,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-opus-5-5,high,12,20,1,0.0500,0,,232.00,17899513.00,74887.50,70.50,153.167043,7.658352,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-opus-5-5,medium,2,9,2,0.2222,0,169.56,1568.00,21619520.60,94610.00,50.80,98.638723,10.959858,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
claude-sonnet-5,high,3,2,0,0.0000,0,50.59,2711.00,591193667.50,661990.00,785.50,276.422868,138.211434,"Anthropic pricing, https://docs.anthropic.com/en/docs/about-claude/pricing"
gpt-5.6-luna,xhigh,368,315,75,0.2381,4,32.35,17819040.00,17350144.00,50425.00,135.50,280.815918,0.891479,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
gpt-5.6-sol,high,0,0,0,,0,,,,,,,,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
gpt-5.6-terra,high,0,0,0,,0,,,,,,,,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
gpt-6-astra,high,54,47,14,0.2979,0,23.51,9029939.00,8902976.00,29261.50,79.50,785.440780,16.711506,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
gpt-6-astra,medium,3,3,0,0.0000,0,6.22,2207571.00,2138112.00,6695.00,39.00,9.389910,3.129970,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
gpt-6-astra,xhigh,2,2,0,0.0000,0,84.79,12169290.50,11933248.00,57677.00,91.00,34.355046,17.177523,"OpenAI pricing, https://developers.openai.com/api/docs/pricing"
opus,high,9,8,0,0.0000,0,,0.00,0.00,0.00,0.00,,,unpriced or no model attribution
unknown,unknown,530,861,192,0.2230,5,,0.00,0.00,0.00,0.00,,,unpriced or no model attribution
