project,project_path,worker_name,session_id,harness,source_db,source_transcript,source_factory_logs,factory_session,spawn_id,spawn_at,cli,model,effort,transcript_join_key,transcript_joined,session_first_at,session_last_at,task_id,task_title,task_status,task_closed,task_created_at,task_closed_at,lease_acquired_at,lease_released_at,lease_terminal_event,send_back_count,urgent_stop_count,merge_required_count,close_reason,first_push_at,minutes_to_first_push,input_tokens,cached_input_tokens,cache_creation_input_tokens,output_tokens,reasoning_tokens,tool_calls,cost_usd
Apps,/home/pippenz/Apps,be85b4f4-fd40-425d-a7c2-888ef5ceeb88,db:unknown:be85b4f4-fd40-425d-a7c2-888ef5ceeb88,db,/home/pippenz/Apps/.cas/cas.db,,/home/pippenz/Apps/.cas/logs,,,,,,,be85b4f4-fd40-425d-a7c2-888ef5ceeb88,no,,,cas-5986,Create shiri.md Claude command skill,closed,yes,2026-04-13T23:13:16.958Z,2026-04-13T23:36:36.033Z,2026-04-13T23:15:28.400Z,2026-04-13T23:36:36.034Z,released,0,0,0,shiri.md delivered via ~/Downloads/shiri.md and copied into ~/.claude/commands/ by user. /shiri command confirmed live in skill registry. Path restriction on ~/.claude forced the drop-file pattern instead of direct write.,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,unicron-ops,db:unknown:unicron-ops,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,5,2026-07-06T18:55:08.498Z,,,,unicron-ops,no,2026-07-06T18:55:08.498Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,soundwave-ops,db:unknown:soundwave-ops,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,5,2026-07-06T18:55:08.498Z,,,,soundwave-ops,no,2026-07-06T18:55:08.498Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,backup-docs,db:unknown:backup-docs,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,5,2026-07-06T18:55:08.498Z,,,,backup-docs,no,2026-07-06T18:55:08.498Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,probe-1,db:unknown:probe-1,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,6,2026-07-06T19:00:27.317Z,,,,probe-1,no,2026-07-06T19:00:27.317Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,probe-2,db:unknown:probe-2,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,7,2026-07-06T19:02:18.631Z,,,,probe-2,no,2026-07-06T19:02:18.631Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,unicron-ops,db:unknown:unicron-ops,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,9,2026-07-06T19:04:15.163Z,,,,unicron-ops,no,2026-07-06T19:04:15.163Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,soundwave-ops,db:unknown:soundwave-ops,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,9,2026-07-06T19:04:15.163Z,,,,soundwave-ops,no,2026-07-06T19:04:15.163Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,backup-docs,db:unknown:backup-docs,db,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,9,2026-07-06T19:04:15.163Z,,,,backup-docs,no,2026-07-06T19:04:15.163Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,probe-3,db:unknown:probe-3,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,10,2026-07-06T19:07:41.331Z,claude,,,probe-3,no,2026-07-06T19:07:41.331Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,unicron-ops,db:unknown:unicron-ops,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,12,2026-07-06T19:08:44.320Z,claude,,,unicron-ops,no,2026-07-06T19:08:44.320Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,soundwave-ops,db:unknown:soundwave-ops,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,12,2026-07-06T19:08:44.320Z,claude,,,soundwave-ops,no,2026-07-06T19:08:44.320Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,backup-docs,db:unknown:backup-docs,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,12,2026-07-06T19:08:44.320Z,claude,,,backup-docs,no,2026-07-06T19:08:44.320Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,unicron-ops,db:unknown:unicron-ops,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,13,2026-07-06T19:10:05.703Z,claude,,,unicron-ops,no,2026-07-06T19:10:05.703Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,soundwave-ops,db:unknown:soundwave-ops,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,13,2026-07-06T19:10:05.703Z,claude,,,soundwave-ops,no,2026-07-06T19:10:05.703Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,backup-docs,db:unknown:backup-docs,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,13,2026-07-06T19:10:05.703Z,claude,,,backup-docs,no,2026-07-06T19:10:05.703Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,unicron-w1,db:unknown:unicron-w1,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,14,2026-07-06T19:11:33.582Z,claude,,,unicron-w1,no,2026-07-06T19:11:33.582Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,soundwave-w1,db:unknown:soundwave-w1,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,14,2026-07-06T19:11:33.582Z,claude,,,soundwave-w1,no,2026-07-06T19:11:33.582Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,docs-w1,db:unknown:docs-w1,claude,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,,14,2026-07-06T19:11:33.582Z,claude,,,docs-w1,no,2026-07-06T19:11:33.582Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,panel-fix,019f8b40-7e8d-73c1-88d8-281a1d052b4f,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex/sessions/2026/07/22/rollout-2026-07-22T15-14-47-019f8b40-7e8d-73c1-88d8-281a1d052b4f.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-loyal-heron-86,15,2026-07-10T18:06:49.195Z,grok,gpt-5.6-sol,high,panel-fix,yes,2026-07-22T19:14:47.867Z,2026-07-22T19:27:27.978Z,,,,no,,,,,,0,0,0,,,,7849101,7644672,0,31952,14048,1,
Penguinz,/home/pippenz/Penguinz,hv-audio,db:Penguinz-jolly-stork-8:hv-audio,grok,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,Penguinz-jolly-stork-8,17,2026-07-17T13:56:41.437Z,grok,grok-4.5,high,hv-audio,no,2026-07-17T13:56:41.437Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,hv-audio,db:Penguinz-jolly-stork-8:hv-audio,grok,/home/pippenz/Penguinz/.cas/cas.db,,/home/pippenz/Penguinz/.cas/logs,Penguinz-jolly-stork-8,19,2026-07-17T14:46:26.099Z,grok,grok-4.5,high,hv-audio,no,2026-07-17T14:46:26.099Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,
Penguinz,/home/pippenz/Penguinz,quicken-vm,019f8a04-ffd5-7533-a6c7-9b03683ec709,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex/sessions/2026/07/22/rollout-2026-07-22T09-30-11-019f8a04-ffd5-7533-a6c7-9b03683ec709.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-zen-swan-26,21,2026-07-22T13:30:09.980Z,codex,gpt-5.6-sol,high,quicken-vm,yes,2026-07-22T13:30:11.617Z,2026-07-22T13:31:11.294Z,cas-8efc,Quicken install in VM + additive copy-based data migration (USER verification gate),closed,yes,2026-07-22T13:30:05.097Z,2026-07-22T17:29:41.512Z,,,,0,0,1,"Merged into epic at 809472d after commit 30fcbeb. Gate 1 and Gate 2 completed and personally approved by user. Exact authoritative copy list migrated additively into local C: staging; local Team DNB QDF verified in Quicken with accounts, 2,528 transactions, 590 payees/prefills, report, and attachment evidence. Original data unchanged, old Windows C unmounted, share still bridge-only read-only. Fresh composite proof exited 0.",,,182905,157952,0,1573,212,0,
Penguinz,/home/pippenz/Penguinz,quicken-spike,019f8a0d-e202-7263-97d0-7785339ea432,codex,/home/pippenz/Penguinz/.cas/cas.db,/home/pippenz/.codex/sessions/2026/07/22/rollout-2026-07-22T09-39-53-019f8a0d-e202-7263-97d0-7785339ea432.jsonl,/home/pippenz/Penguinz/.cas/logs,Penguinz-zen-swan-26,23,2026-07-22T13:39:52.153Z,codex,gpt-5.6-sol,medium,quicken-spike,yes,2026-07-22T13:39:53.822Z,2026-07-22T13:51:22.856Z,cas-8cc5,SPIKE (read-only): full inventory of Quicken user data on Windows C: and datacube,closed,yes,2026-07-22T13:39:47.014Z,2026-07-22T13:51:11.384Z,,,,0,0,1,"Completed and verified read-only Quicken inventory. Full manifest, registry inventory, datacube D: mapping, and migration copy/skip list are in decision notes; Windows C: was mounted ro and unmounted; zero NTFS write actions; supervisor message delivered. Branch commit e44b650 was pushed and merged into epic at 99f8279.",,,4060231,3908352,0,25810,10157,2,
