project,project_path,worker_name,session_id,harness,source_db,source_transcript,source_factory_logs,factory_session,spawn_id,spawn_at,cli,model,effort,transcript_join_key,transcript_joined,session_first_at,session_last_at,task_id,task_title,task_status,task_closed,task_created_at,task_closed_at,lease_acquired_at,lease_released_at,lease_terminal_event,send_back_count,urgent_stop_count,merge_required_count,close_reason,first_push_at,minutes_to_first_push,input_tokens,cached_input_tokens,cache_creation_input_tokens,output_tokens,reasoning_tokens,tool_calls,cost_usd,horizon_date,cost_usd_current
Accounting,/home/pippenz/Documents/Accounting,worker-1,db:Accounting-patient-otter-48:worker-1,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-patient-otter-48,1,2026-09-08T15:49:20.676Z,codex,gpt-5.6-luna,xhigh,worker-1,no,2026-09-08T15:49:20.676Z,,,,,no,,,,,,0,0,0,,,,0,0,0,0,0,0,0.000000,2026-09-08,0.000000
Accounting,/home/pippenz/Documents/Accounting,worker-1,db:Accounting-patient-otter-48:worker-1,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-patient-otter-48,2,2026-09-08T15:49:42.451Z,claude,opus,high,worker-1,no,2026-09-08T15:49:42.451Z,,cas-0781,Make ETL and report scripts portable; add one-command rebuild,closed,yes,2026-09-08T15:48:45.100Z,2026-09-08T15:55:50.890Z,,,,0,0,1,"Merged by supervisor: factory/worker-1 @748d7ea into epic branch @31c63d8. All /mnt/d/ and /tmp paths removed from scripts/; added scripts/requirements.txt, scripts/rebuild.sh and Makefile. Full rebuild from $HOME exits 0 and git diff reports/ is empty (seven reports byte-identical). Verification ver-df19409119f1 approved.",,,0,0,0,0,0,0,,2026-09-08,
Accounting,/home/pippenz/Documents/Accounting,agile-merlin-37,db:Accounting-jolly-phoenix-29:agile-merlin-37,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,4,2026-09-13T18:23:24.913Z,codex,gpt-5.6-luna,xhigh,agile-merlin-37,no,2026-09-13T18:23:24.913Z,,cas-8cec,"Wire Firefly data importer to SimpleFIN (setup token, importer env, recreate script)",closed,yes,2026-09-13T18:21:39.342Z,2026-09-13T18:35:17.081Z,,,,1,0,2,"Administrative reopen resolved the stale no-code marker; no corrective work was performed. Commit 14c53800e0ba2a9632777c1057271543b990565f is already merged and supervisor-reviewed on the epic branch. Existing fresh proof passed: bash -n, healthy importer with matched SIMPLEFIN_TOKEN, and 12 accounts across 7 connections from Unicron. QA ledger records the UI Client ID gate as NOT EXERCISED; no secrets are in git, notes, or artifacts.",2026-09-13T18:55:46.090Z,32.35,0,0,0,0,0,0,0.000000,2026-09-13,0.000000
Accounting,/home/pippenz/Documents/Accounting,keen-owl-92,82314024-1fdd-4d5f-95e2-589f051f3f56,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting/82314024-1fdd-4d5f-95e2-589f051f3f56/subagents/agent-a383c1ebf30f6af95.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,5,2026-09-13T18:40:32.294Z,codex,claude-fable-5-1,medium,keen-owl-92,yes,2026-09-13T19:01:13.729Z,2026-09-13T19:15:50.395Z,cas-be7e,"Categorization audit across all accounts: blanks, inconsistencies, and a cleanup plan",closed,yes,2026-09-13T18:33:04.426Z,2026-09-13T19:04:16.503Z,,,,0,0,1,"Supervisor reviewed and merged 762ce2fcc9d850c6bc327c4efbf3e6ab11d0ed1f into the epic. Delivered read-only deterministic categorization Markdown/HTML, report brief, complete transfer-pair CSV, make target/integration, docs, and tests. All six requested sections use canonical 47,240-row export with ledger edge 2026-09-07: 2,967 dated blanks/$301,114.94 gross; 417 inconsistent payees; 180 normalization groups; 217 possible transfer pairs; 27 category review pairs; top-50 rules cover 713 blanks with evidence/confidence distinctions. Era breakdown and Quicken-first historical cleanup recommendation included. Fresh make rebuild + 41 tests passed, SQL totals verified, input DB hash unchanged by audit, all outputs byte-identical on regeneration. Eight real-build QA cells PASS, including mobile/light/dark/no-JS/keyboard/print; artifact://cas-be7e/LEDGER.md and final-proof.txt. Clean tree; source records unchanged.",,,3494,16287237,928799,72036,18760,63,26.284529,2026-09-13,26.284529
Accounting,/home/pippenz/Documents/Accounting,brave-salmon-39,01a09c7a-6b48-70d2-bcd5-2c570a435c09,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/13/rollout-2026-09-13T16-34-23-01a09c7a-6b48-70d2-bcd5-2c570a435c09.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,6,2026-09-13T20:34:22.161Z,codex,gpt-5.6-luna,xhigh,brave-salmon-39,yes,2026-09-13T20:34:23.854Z,2026-09-13T21:02:12.395Z,cas-2208,Add Firefly III to the Homepage dashboard on Unicron,closed,yes,2026-09-13T20:28:12.458Z,2026-09-13T20:51:44.118Z,,,,0,0,2,"Supervisor merged ff4f9124bce7433958569b590983fd4eac678f5f into epic/firefly-iii-live-ledger-simplefin-sync-on-unicron-cas-7249 as 43bc193; review passed. Delivered Unicron Homepage Finance group with Firefly III live widget plus Data Importer, MCP health, and Toolbox entries; root-only HOMEPAGE_VAR_FIREFLY_KEY env-file wiring and Unraid template persistence; config backup; and .claude/skills/unraid.md documentation. Fresh live proof passed: Homepage 200, four services/widget env-template valid, authorized Firefly API 200, MCP health 200, importer 200 after redirect, Chrome render with Finance/all service/Net Worth/Budget markers and no widget error. QA ledger artifact://cas-2208/LEDGER.md records 5 PASS, 0 FAIL, 1 NOT EXERCISED keyboard cell; final capture artifact://cas-2208/final-homepage.png. No token in git or artifacts; supervisor deleted scratch file. Grafana/Prometheus out of scope.",,,19296456,18845568,0,68547,32691,183,0.549345,2026-09-13,0.549345
Accounting,/home/pippenz/Documents/Accounting,eager-viper-89,01a09cb1-02da-7852-8a1a-f0a102568d42,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/13/rollout-2026-09-13T17-34-01-01a09cb1-02da-7852-8a1a-f0a102568d42.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,10,2026-09-13T21:34:00.504Z,codex,gpt-6-astra,high,eager-viper-89,yes,2026-09-13T21:34:01.610Z,2026-09-14T03:57:17.529Z,cas-3122,Local HTML approval page for categorization rules (writes approved flags back to the TOML),closed,yes,2026-09-13T21:23:03.105Z,2026-09-13T21:57:43.023Z,,,,0,0,1,"Supervisor #167 reviewed/merged 388df0d; ancestry check passes and tree is clean. Delivered 280-rule localhost approval UI, exact atomic flags/log editing, stale protection, background rebuild and deltas, Firefox launcher, Production/path header and docs. Final-proof.py exit 0 on unchanged delivery: 79 tests; 20 report hashes and 47,240 raw rows unchanged; 280 flags false/no production approval log. Eight real-build QA cells PASS: artifact://cas-3122/LEDGER.md and final-proof.json. QA servers stopped; external owner QA clicks preserved separately.",2026-09-13T21:34:19.910Z,0.30,35277531,34761344,0,96736,24469,280,44.760014,2026-09-13,44.760014
Accounting,/home/pippenz/Documents/Accounting,young-heron-45,01a09d83-8ecc-78a2-8c9f-53e702de460a,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/13/rollout-2026-09-13T21-23-59-01a09d83-8ecc-78a2-8c9f-53e702de460a.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,11,2026-09-14T01:23:58.419Z,codex,gpt-5.6-luna,xhigh,young-heron-45,yes,2026-09-14T01:24:00.007Z,2026-09-14T02:58:22.110Z,cas-674a,Create the 12 live accounts in Firefly III and run the first SimpleFIN import,closed,yes,2026-09-13T18:22:02.175Z,2026-09-14T02:36:03.586Z,,,,0,0,0,"Completed the no-code live Firefly/SimpleFIN operation. Ten exact Firefly accounts are present as IDs 1-10 with requested asset/liabilities types and null opening balances/dates. Corrected bounded import owns 2026-06-17 onward (archive ends 2026-06-16) and completed 733 rows with 0 warnings/errors; final Firefly API snapshot has 733 distinct ff3-ACT external IDs. Saved importer config is mode 600, range 2026-06-17..2026-09-15, no access_token; transient runtime config and raw secret-bearing logs/inspect artifact were removed. Per-account SimpleFIN mapping/table is at artifact://cas-674a/ACCOUNT_IMPORT_TABLE.md; QA ledger at artifact://cas-674a/LEDGER.md; final proof and sanitized log at artifact://cas-674a/final-proof.txt and artifact://cas-674a/import-run-sanitized.txt. Decision recorded: USAA sources 5034/4764/3227 provisionally map to Firefly id 5; only 5034 had rows, pending owner confirmation and possible two future accounts. Worktree clean at 42b329cce3218d831e937afe0c1ee789980b9ad8; no repository code changes, so no commit/push was needed.",2026-09-14T03:10:14.008Z,106.23,37407857,36596224,0,142976,58927,310,1.065822,2026-09-14,1.065822
Accounting,/home/pippenz/Documents/Accounting,steady-gopher-34,01a09fbb-1737-7d73-84e8-30402c13606d,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/14/rollout-2026-09-14T07-43-53-01a09fbb-1737-7d73-84e8-30402c13606d.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,14,2026-09-14T11:43:50.782Z,codex,gpt-5.6-luna,xhigh,steady-gopher-34,yes,2026-09-14T11:43:53.850Z,2026-09-14T11:59:45.233Z,cas-e523,Split the three USAA cards into separate Firefly accounts and remap SimpleFIN,closed,yes,2026-09-14T11:43:25.069Z,2026-09-14T11:59:45.014Z,,,,1,0,1,"Completed and reviewed. Created USD liabilities USAA - Visa 4764 (ID 1480) and USAA - Visa 3227 (ID 1481) with no opening balance; kept 5034 on existing account 5. Atomically remapped Unicron simplefin.json and updated the recreate template to 5/1480/1481, preserving access_token and all non-account fields. Manual autoimport returned HTTP 200 with the expected completion message; new account transaction APIs show 0 rows and 0 errors; final importer error scan is 0. Repo commit 23fa095100fe3b6e0a45e8f9479cb039609992ee was pushed and merged into master as 4990f9c.",2026-09-14T11:59:30.391Z,15.61,5637334,5491712,0,34326,15369,84,0.180150,2026-09-14,0.180150
Accounting,/home/pippenz/Documents/Accounting,loyal-salmon-20,01a09fbe-8d4b-7da1-a101-46ea8a4dfd71,codex,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.codex/sessions/2026/09/14/rollout-2026-09-14T07-47-40-01a09fbe-8d4b-7da1-a101-46ea8a4dfd71.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-jolly-phoenix-29,15,2026-09-14T11:47:39.638Z,codex,gpt-5.6-luna,xhigh,loyal-salmon-20,yes,2026-09-14T11:47:40.674Z,2026-09-14T12:30:40.413Z,cas-2d40,Expose Firefly III at https://firefly.pippenz.com via Unicron's nginx reverse proxy,closed,yes,2026-09-14T11:47:34.761Z,2026-09-14T12:30:36.128Z,,,,0,0,1,"Delivered and merged as 03609d7 on master. Worker commit 2f08bb0ea9610a0751f51ee17af55c11336e37ef is an ancestor of origin/master; worktree is clean. Fresh proof is recorded in /home/pippenz/.cas/artifacts/cas-2d40/FINAL_PROOF.txt and /home/pippenz/.cas/artifacts/cas-2d40/LEDGER.md: 8/8 real-build QA cells passed, including LAN/Tailscale TLS login and importer endpoints, DNS, missing-route behavior, mobile login, and Webster balance. Bash syntax and live endpoint/API checks passed; pytest was unavailable in the environment. Supervisor independently reviewed and verified the merged HTTPS demo.",,,23260947,22848000,0,111016,50299,214,0.672769,2026-09-14,0.672769
Accounting,/home/pippenz/Documents/Accounting,calm-cheetah-80,9acc74ad-83ef-4f3f-a516-6b24b8a03c7a,claude,/home/pippenz/Documents/Accounting/.cas/cas.db,/home/pippenz/.claude-pippenz@gmail.com/projects/-mnt-shockwave-archive-Pippenz-Documents-Accounting--cas-worktrees-calm-cheetah-80/9acc74ad-83ef-4f3f-a516-6b24b8a03c7a.jsonl,/home/pippenz/Documents/Accounting/.cas/logs,Accounting-fierce-pelican-43,18,2026-09-14T13:04:24.948Z,claude,claude-fable-5-1,medium,calm-cheetah-80,yes,2026-09-14T13:04:25.692Z,2026-09-14T13:16:02.405Z,cas-6d54,Extend the local HTML approval page to approve Firefly merchant rules in data/firefly_rules.toml,closed,yes,2026-09-14T13:03:19.723Z,2026-09-14T13:16:15.435Z,,,,1,0,2,"Firefly merchant rules tab in make approve-rules (factory/calm-cheetah-80 @ada5665, merged to epic @1b761eb). Reads with firefly_rules_common.load_rules, validates against data/firefly-cache/categories.json, saves via save_flags; stale refusal 409, receipt log with before/after hashes and edits; types column. Suite 122 passed on epic tip; 1280/390 renders PASS; critique 4/5/4/4/4. Verification ver-b3a234852f49 approved.",,,3004,11082115,398606,122008,23711,68,16.873089,2026-09-14,16.873089
