scope,project,model,effort,sessions,sessions_with_tokens,miss_rate,tasks_delivered,send_backs,send_back_rate,urgent_stops,median_minutes_to_first_push,median_output_tokens_per_delivered_task,median_tool_calls_per_delivered_task,cost_usd_total,cost_usd_per_delivered_task,delivered_tasks_priced
project,cas-src,,,385,0,1.0,322,58,0.1801,2,,,,,,0
project,cas-src,claude-fable-5,high,10,10,0.0,6,4,0.6667,0,44.81,4092,7,,,0
project,cas-src,claude-fable-5-1,high,5,5,0.0,1,0,0.0,0,24.01,214691,74,130.0,130.0,1
project,cas-src,claude-fable-5-1,medium,4,4,0.0,3,4,1.3333,0,57.68,691080,288,309.07,103.02,3
project,cas-src,claude-opus-5,high,35,35,0.0,34,7,0.2059,0,42.21,213544,185,1896.16,55.77,34
project,cas-src,gpt-5.6-luna,xhigh,159,158,0.0063,124,39,0.3145,0,25.92,62116,35,103.13,0.83,124
project,cas-src,gpt-5.6-sol,high,31,31,0.0,28,16,0.5714,0,27.3,31926,28,223.59,7.99,28
project,cas-src,gpt-5.6-terra,high,34,34,0.0,22,1,0.0455,0,11.95,23788,20,97.16,4.42,22
project,gabber-studio,,,187,0,1.0,166,21,0.1265,0,,,,,,0
project,gabber-studio,claude-haiku-4-5-20251001,low,16,15,0.0625,16,0,0.0,0,19.6,36302,32,21.91,1.46,15
project,gabber-studio,claude-opus-5,high,57,33,0.4211,51,10,0.1961,0,31.8,120261,122,958.11,35.49,27
project,gabber-studio,gpt-5.6-luna,xhigh,52,52,0.0,45,13,0.2889,0,18.22,36281,28,13.45,0.3,45
project,gabber-studio,gpt-5.6-sol,high,15,15,0.0,15,14,0.9333,0,,71454,48,57.73,3.85,15
project,gabber-studio,opus,high,5,0,1.0,5,0,0.0,0,103.95,,,,,0
project,ozer,gpt-5.6-terra,high,8,8,0.0,4,2,0.5,0,10.89,23945,20,11.4,2.85,4
project,abundant-mines,,,51,0,1.0,44,2,0.0455,0,,,,,,0
project,abundant-mines,claude-haiku-4-5-20251001,low,4,0,1.0,4,0,0.0,0,,,,,,0
project,abundant-mines,claude-opus-5,high,4,4,0.0,4,1,0.25,0,,46068,50,29.46,7.36,4
project,abundant-mines,gpt-5.6-luna,xhigh,26,26,0.0,22,2,0.0909,0,23.45,70842,42,20.55,0.93,22
project,Penguinz,,,43,0,1.0,26,4,0.1538,0,,,,,,0
project,Penguinz,gpt-5.6-luna,xhigh,19,17,0.1053,9,0,0.0,0,47.69,52063,35,5.97,0.75,8
project,Penguinz,gpt-5.6-terra,high,20,18,0.1,13,3,0.2308,0,9.08,17946,22,32.51,2.5,13
project,Woodworking,,,21,0,1.0,13,17,1.3077,0,,,,,,0
project,Woodworking,claude-fable-5,high,4,4,0.0,1,7,7.0,0,25.92,21098,20,,,0
project,Woodworking,claude-opus-5,high,10,4,0.6,10,6,0.6,0,216.9,421602,174,156.89,39.22,4
project,Woodworking,gpt-5.6-luna,xhigh,5,5,0.0,3,7,2.3333,0,27.88,46358,18,2.03,0.68,3
project,Woodworking,gpt-5.6-sol,high,4,4,0.0,2,8,4.0,0,7.08,14392,10,6.72,3.36,2
project,Woodworking,gpt-5.6-terra,high,4,4,0.0,4,8,2.0,0,20.91,27960,26,11.42,2.86,4
project,pulse-card,,,51,0,1.0,46,5,0.1087,0,,,,,,0
project,pulse-card,claude-opus-5,high,5,5,0.0,5,0,0.0,0,,164259,212,100.35,20.07,5
project,pulse-card,gpt-5.6-luna,xhigh,31,29,0.0645,25,6,0.24,0,24.2,48249,30,14.89,0.6,25
project,petra-stella-cloud,,,68,0,1.0,59,12,0.2034,0,,,,,,0
project,petra-stella-cloud,claude-opus-5,high,5,5,0.0,5,1,0.2,0,91.58,417503,234,329.56,65.91,5
project,petra-stella-cloud,gpt-5.6-luna,xhigh,36,35,0.0278,30,10,0.3333,0,30.49,57731,37,19.03,0.63,30
project,petra-stella-cloud,gpt-5.6-sol,high,10,8,0.2,7,0,0.0,0,17.79,25480,26,42.89,6.13,7
project,mecha_cassy,,,31,0,1.0,27,1,0.037,0,,,,,,0
project,mecha_cassy,gpt-5.6-luna,xhigh,19,9,0.5263,14,1,0.0714,0,26.44,71381,48,4.31,0.54,8
overall,,,,837,0,1.0,703,120,0.1707,2,,,,,,0
overall,,<synthetic>,high,3,3,0.0,3,0,0.0,0,,77373,116,,,0
overall,,claude-fable-5,high,14,14,0.0,7,11,1.5714,0,35.37,5456,9,,,0
overall,,claude-fable-5-1,high,6,5,0.1667,2,0,0.0,0,20.61,214691,74,130.0,130.0,1
overall,,claude-fable-5-1,medium,4,4,0.0,3,4,1.3333,0,57.68,691080,288,309.07,103.02,3
overall,,claude-haiku-4-5-20251001,low,22,15,0.3182,22,0,0.0,0,19.6,36302,32,21.91,1.46,15
overall,,claude-opus-5,high,118,86,0.2712,111,25,0.2252,0,66.19,178640,171,3470.54,43.93,79
overall,,gpt-5.6-luna,xhigh,349,332,0.0487,272,78,0.2868,0,25.55,54109,32,183.62,0.69,265
overall,,gpt-5.6-sol,high,66,63,0.0455,57,38,0.6667,0,18.32,33102,28,397.67,7.1,56
overall,,gpt-5.6-terra,high,68,66,0.0294,44,14,0.3182,0,11.95,23520,22,155.51,3.53,44
overall,,opus,high,5,0,1.0,5,0,0.0,0,103.95,,,,,0
