scope,project,model,effort,sessions,tasks_delivered,send_backs,send_back_rate,urgent_stops,median_minutes_to_first_push,median_input_tokens_per_delivered_task,median_cached_input_tokens_per_delivered_task,median_output_tokens_per_delivered_task,median_tool_calls_per_delivered_task,cost_usd
project,Accounting,gpt-5.5,medium,2,0,0,0.0000,0,,,,,,
project,Accounting,gpt-5.6-terra,high,1,1,2,2.0000,0,,4591700.00,4444928.00,26115.00,54.00,1.495910
project,Accounting,unknown,unknown,50,113,0,0.0000,2,,0.00,0.00,0.00,0.00,
project,Apps,unknown,unknown,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,Penguinz,claude-haiku-4-5-20251001,low,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,Penguinz,claude-opus-4-5,medium,2,0,0,0.0000,0,,,,,,
project,Penguinz,claude-opus-5,high,3,3,0,0.0000,0,,390.00,23289869.00,211399.00,105.00,122.069558
project,Penguinz,claude-opus-5,medium,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,Penguinz,gpt-5.5,high,1,0,0,0.0000,0,,,,,,
project,Penguinz,gpt-5.5,medium,7,0,0,0.0000,0,,,,,,
project,Penguinz,gpt-5.6-luna,xhigh,18,9,0,0.0000,0,47.69,10205217.50,10003584.00,46485.50,92.00,5.967896
project,Penguinz,gpt-5.6-sol,high,23,13,0,0.0000,0,162.40,5718352.50,5535616.00,25543.00,61.00,181.738792
project,Penguinz,gpt-5.6-sol,medium,16,2,0,0.0000,0,,5207392.50,5026560.00,23218.00,52.00,106.034392
project,Penguinz,gpt-5.6-terra,high,49,27,3,0.1111,0,8.28,3356699.00,3251584.00,17014.00,46.50,86.206509
project,Penguinz,gpt-5.6-terra,low,5,3,0,0.0000,0,,3235626.00,3125760.00,13038.00,57.00,3.542443
project,Penguinz,gpt-5.6-terra,medium,1,1,0,0.0000,0,,10147011.00,9935616.00,27687.00,133.00,2.742157
project,Penguinz,grok-4.5,high,1,0,0,0.0000,0,,,,,,0.000000
project,Penguinz,unknown,unknown,142,180,4,0.0222,8,,0.00,0.00,0.00,0.00,
project,Woodworking,claude-fable-5,high,1,1,7,7.0000,0,,56.00,1063647.00,21541.00,22.00,
project,Woodworking,claude-opus-5,high,4,10,6,0.6000,0,216.87,105.67,10430626.17,55979.00,30.33,203.635789
project,Woodworking,gpt-5.5,high,2,0,0,0.0000,0,,,,,,
project,Woodworking,gpt-5.6-luna,xhigh,3,3,7,2.3333,0,16.69,4695979.00,4550656.00,30197.00,68.00,0.519993
project,Woodworking,gpt-5.6-sol,high,43,2,8,4.0000,0,8.28,3792394.00,3693568.00,14751.50,43.50,205.447768
project,Woodworking,gpt-5.6-sol,low,1,0,0,0.0000,0,,,,,,0.554957
project,Woodworking,gpt-5.6-sol,medium,7,0,0,0.0000,0,,,,,,120.735366
project,Woodworking,gpt-5.6-terra,high,4,4,8,2.0000,0,20.91,8671089.50,8452928.00,27960.50,77.50,11.422066
project,Woodworking,unknown,unknown,67,88,18,0.2045,0,,0.00,0.00,0.00,0.00,
project,abundant-mines,<synthetic>,low,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,abundant-mines,claude-fable-5,high,1,1,2,2.0000,0,,264.00,14934482.00,121886.00,78.00,
project,abundant-mines,claude-haiku-4-5-20251001,low,4,4,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,abundant-mines,claude-opus-4-5-20251101,high,8,7,3,0.4286,0,,1378.00,16443983.00,112900.00,75.00,
project,abundant-mines,claude-opus-5,high,18,17,3,0.1765,0,21.51,273.50,16456688.00,137804.50,78.00,300.622390
project,abundant-mines,claude-opus-5,low,1,1,0,0.0000,0,,30.00,600356.00,4582.00,12.00,1.169858
project,abundant-mines,gpt-5.5,high,3,3,0,0.0000,0,22.05,1306548.00,1163904.00,11538.00,38.00,
project,abundant-mines,gpt-5.6-luna,xhigh,26,22,2,0.0909,0,23.45,19870189.50,19531264.00,56969.50,144.00,20.549605
project,abundant-mines,gpt-5.6-sol,high,36,34,1,0.0294,0,14.96,10438372.00,10138368.00,43154.00,89.00,277.709833
project,abundant-mines,gpt-5.6-sol,low,1,1,0,0.0000,0,,193095.00,151808.00,869.00,6.00,0.243251
project,abundant-mines,gpt-5.6-sol,medium,1,0,0,0.0000,0,,,,,,0.113097
project,abundant-mines,gpt-5.6-terra,high,72,63,4,0.0635,0,12.09,5881701.50,5687808.00,23964.00,61.00,141.389997
project,abundant-mines,sonnet,medium,1,1,0,0.0000,0,6.56,0.00,0.00,0.00,0.00,
project,abundant-mines,unknown,unknown,245,314,14,0.0446,0,,0.00,0.00,0.00,0.00,
project,aws,claude-sonnet-5,high,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,aws,gpt-5.6-terra,high,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,0.000000
project,aws,unknown,unknown,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,cas-src,<synthetic>,high,3,3,0,0.0000,0,,342.00,17111883.00,77373.00,116.00,
project,cas-src,<synthetic>,low,1,1,0,0.0000,0,,0.00,0.00,0.00,0.00,
project,cas-src,<synthetic>,medium,6,4,0,0.0000,0,,238.00,3879909.50,47768.00,38.00,
project,cas-src,claude-fable-5,high,10,6,4,0.6667,0,44.81,27.00,379860.00,4091.50,7.00,
project,cas-src,claude-fable-5-1,high,5,2,0,0.0000,0,24.01,22777.00,23514356.50,249647.50,97.50,183.692240
project,cas-src,claude-fable-5-1,medium,2,4,5,1.2500,0,57.68,6209.50,103484999.75,380927.25,154.25,327.271890
project,cas-src,claude-haiku-4-5-20251001,high,1,3,0,0.0000,0,,6.67,11008.00,527.33,0.00,0.067780
project,cas-src,claude-haiku-4-5-20251001,unknown,1,0,0,0.0000,0,,,,,,0.181751
project,cas-src,claude-opus-4-5-20251101,high,1,1,0,0.0000,0,,1998.00,22682042.00,104044.00,101.00,
project,cas-src,claude-opus-5,high,61,57,11,0.1930,0,42.21,501.00,41594993.00,199202.00,168.00,2914.865300
project,cas-src,claude-opus-5,low,3,3,0,0.0000,0,2.47,49.00,1044341.00,10107.00,19.00,5.023117
project,cas-src,claude-opus-5,medium,91,78,10,0.1282,0,19.79,290.00,15802942.00,102203.00,94.00,1503.808284
