id	created_at	title	status	local_presence	fixture_gate	delete_result
cas-7254	2026-03-20T14:16:36.707635603Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-e8eb	2026-03-20T14:20:00.646469606Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-4df3	2026-03-20T14:25:34.636558052Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-10c1	2026-03-20T15:04:45.336102448Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-00e3	2026-03-20T15:13:38.645802524Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-a661	2026-05-04T20:49:24.975269421Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-9059	2026-05-04T20:49:24.995810835Z	Context test task	open	absent	pass	deleted
cas-4ed33	2026-05-04T20:49:25.036661164Z	Consolidated task test	open	absent	pass	deleted
cas-c2af	2026-05-04T20:51:39.181469864Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-5d14	2026-05-04T20:51:39.186366645Z	Test task for notification test	open	absent	pass	deleted
cas-415f	2026-05-04T20:51:39.265746254Z	Context test task	open	absent	pass	deleted
cas-6640	2026-05-04T20:52:19.809810318Z	Consolidated task test	open	absent	pass	deleted
cas-445b	2026-05-04T20:52:19.826624834Z	Test task for notification test	open	absent	pass	deleted
cas-cdd2	2026-05-04T20:52:19.836515933Z	Context test task	open	absent	pass	deleted
cas-91bd	2026-05-04T20:52:19.848239169Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-d8e8	2026-05-04T20:53:11.128628021Z	Consolidated task test	open	absent	pass	deleted
cas-f8ed	2026-05-04T20:53:11.132695285Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-c2ec	2026-05-04T20:53:11.238395775Z	Test task for notification test	open	absent	pass	deleted
cas-ed13	2026-05-04T20:53:11.291078178Z	Context test task	open	absent	pass	deleted
cas-d5ad	2026-05-04T20:55:26.261350953Z	Context test task	open	absent	pass	deleted
cas-7aee	2026-05-04T20:55:26.432462768Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-c098d	2026-05-04T20:55:26.460527252Z	Test task for notification test	open	absent	pass	deleted
cas-b6ca	2026-05-04T20:55:26.488216438Z	Consolidated task test	open	absent	pass	deleted
cas-259e	2026-05-04T20:56:12.908822884Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-53fb	2026-05-04T20:56:13.059946076Z	Test task for notification test	open	absent	pass	deleted
cas-d670	2026-05-04T22:06:30.842095725Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-99a5	2026-05-04T22:06:30.949760770Z	Consolidated task test	open	absent	pass	deleted
cas-d7372	2026-05-04T22:06:30.951405358Z	Context test task	open	absent	pass	deleted
cas-b394	2026-05-04T22:06:31.023799695Z	Test task for notification test	open	absent	pass	deleted
cas-6a6e	2026-05-04T22:31:36.014738984Z	Consolidated task test	open	absent	pass	deleted
cas-a5d1a	2026-05-04T22:31:36.136725008Z	Context test task	open	absent	pass	deleted
cas-42c4	2026-05-04T22:31:36.157326138Z	Test task for notification test	open	absent	pass	deleted
cas-96b1	2026-05-04T22:32:21.282663865Z	Consolidated task test	open	absent	pass	deleted
cas-341a	2026-05-04T22:32:21.319923852Z	Context test task	open	absent	pass	deleted
cas-6c09	2026-05-04T22:32:21.328624822Z	Test task for notification test	open	absent	pass	deleted
cas-72bf	2026-05-04T22:32:21.445890272Z	MCP Protocol Test Task	open	absent	pass	deleted
cas-05b7	2026-05-13T18:43:07.463068760Z	Test task for notification test	open	absent	pass	deleted
cas-5171	2026-05-13T18:43:07.530680202Z	Context test task	open	absent	pass	deleted
