db	id	content
/home/pippenz/.cas/cas.db	2026-03-20-12	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-20-13	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-20-14	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-20-15	Test entry for notification test
/home/pippenz/.cas/cas.db	2026-03-20-24	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-20-25	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-20-26	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-20-27	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-20-28	Test entry for notification test
/home/pippenz/.cas/cas.db	2026-03-20-30	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-20-31	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-20-32	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-20-33	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-20-34	Test entry for notification test
/home/pippenz/.cas/cas.db	2026-03-20-35	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-20-36	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-20-37	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-20-38	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-20-39	Test entry for notification test
/home/pippenz/.cas/cas.db	2026-03-24-14	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-24-15	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-24-16	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-24-17	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-24-18	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-24-19	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-24-20	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-25-10	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-25-11	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-25-12	Context test memory entry
/home/pippenz/.cas/cas.db	2026-03-25-13	Rust programming language with ownership and borrowing
/home/pippenz/.cas/cas.db	2026-03-25-14	Test memory from MCP protocol test
/home/pippenz/.cas/cas.db	2026-03-25-15	Consolidated memory test entry
/home/pippenz/.cas/cas.db	2026-03-25-5	Consolidated memory test entry
